"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
19,2012-01-02,39,27,25,12,98,21,41,1,201,19,"SN",1,1,216,95,180,31,102
20,2012-01-02,70,47,50,22,35,41,16,1,148,38,"MO",2,2,259,137,81,34,240
1,2012-01-03,47,23,27,28,55,22,39,1,190,5,"MO",2,2,236,62,110,31,37
2,2012-01-03,42,107,23,28,55,20,42,1,194,18,"MO",2,2,138,60,125,31,49
3,2012-01-03,72,34,44,34,32,38,21,1,213,72,"MO",2,2,224,109,118,17,39
4,2012-01-03,80,45,54,26,40,45,11,1,206,94,"MO",2,2,239,123,33,17,196
6,2012-01-03,80,38,51,27,40,43,15,1,205,94,"MO",2,2,257,123,56,18,212
7,2012-01-03,78,40,51,41,36,41,15,1,207,91,"MO",2,2,153,105,159,19,80
8,2012-01-03,79,44,56,22,42,44,9,1,206,6,"MO",2,2,281,81,41,16,193
9,2012-01-03,42,22,23,27,24,22,42,1,216,81,"MO",2,2,195,87,91,16,246
10,2012-01-03,64,48,48,1,24,37,18,1,201,90,"MO",2,2,296,108,120,31,42
11,2012-01-03,60,38,41,10,25,33,25,1,202,89,"MO",2,2,295,108,95,31,251
12,2012-01-03,63,48,48,2,25,36,18,1,207,85,"MO",2,2,294,108,131,32,53
13,2012-01-03,72,45,50,43,29,39,16,1,207,90,"MO",2,2,65,98,31,21,217
14,2012-01-03,78,37,49,37,37,39,17,1,218,81,"MO",2,2,153,105,126,18,48
15,2012-01-03,45,65,22,22,33,18,43,1,196,13,"MO",2,2,213,62,133,31,58
16,2012-01-03,47,23,27,12,77,22,39,1,193,36,"MO",2,2,239,59,104,31,30
17,2012-01-03,72,31,43,34,31,37,22,1,202,72,"MO",2,2,230,111,71,18,224
18,2012-01-03,76,44,52,32,39,43,14,1,208,85,"MO",2,2,253,116,90,17,245
19,2012-01-03,40,22,22,22,66,19,43,1,201,20,"MO",2,2,212,101,57,23,246
20,2012-01-03,76,44,52,12,37,43,14,1,209,82,"MO",2,2,232,116,81,17,239
1,2012-01-04,42,107,23,27,1,18,42,1,196,1,"MO",2,2,255,78,65,27,237
2,2012-01-04,35,65,17,3,21,15,49,1,194,19,"MO",2,2,156,76,103,27,38
3,2012-01-04,81,45,54,43,40,43,11,1,213,73,"MO",2,2,222,102,27,31,203
4,2012-01-04,92,56,65,38,54,54,74,1,206,95,"MO",2,2,224,103,14,35,123
6,2012-01-04,90,45,59,34,57,52,7,1,206,95,"BR",2,2,241,103,9,22,201
7,2012-01-04,75,46,52,26,42,43,14,1,209,121,"MO",2,2,159,106,52,33,228
8,2012-01-04,91,51,64,12,61,56,76,1,117,171,"MO",2,2,259,82,15,24,127
9,2012-01-04,54,33,36,35,36,31,30,1,191,24,"BR",2,2,195,81,30,28,206
10,2012-01-04,70,46,50,30,29,39,16,1,202,91,"MO",2,2,304,113,32,29,212
11,2012-01-04,71,35,44,7,28,34,21,1,202,90,"MO",2,2,303,112,25,27,185
12,2012-01-04,70,45,49,1,30,38,17,1,206,157,"MO",2,2,303,113,29,32,196
13,2012-01-04,75,40,50,38,29,38,16,1,161,89,"MO",2,2,74,111,57,19,215
14,2012-01-04,75,46,52,41,41,43,14,1,218,82,"MO",2,2,158,104,63,34,230
15,2012-01-04,37,43,17,30,1,15,49,1,196,14,"MO",2,2,232,77,53,30,218
16,2012-01-04,41,98,22,22,1,18,43,1,202,67,"MO",2,2,259,75,81,28,253
17,2012-01-04,81,41,53,48,39,42,12,1,209,101,"RA",2,1,228,104,23,36,187
18,2012-01-04,80,51,58,37,48,48,8,1,208,85,"MO",2,2,244,103,9,15,209
19,2012-01-04,49,37,34,40,30,30,31,1,201,21,"MO",2,2,190,75,81,27,251
20,2012-01-04,80,52,58,40,47,48,8,1,210,101,"MO",2,2,223,102,12,32,203
1,2012-01-05,53,38,38,31,26,30,28,1,213,90,"MO",2,2,236,59,71,25,232
2,2012-01-05,46,33,31,34,25,26,34,1,194,20,"MO",2,2,139,59,111,26,34
3,2012-01-05,86,45,58,46,42,48,8,1,213,74,"MO",2,2,204,86,75,19,230
4,2012-01-05,89,59,65,38,57,56,74,1,206,96,"MO",2,2,220,99,5,31,19
6,2012-01-05,90,52,63,38,59,58,3,1,206,96,"MO",2,2,237,99,4,25,124
7,2012-01-05,84,41,54,38,43,47,11,1,218,83,"MO",2,2,140,88,124,20,45
8,2012-01-05,89,61,70,1,62,60,35,1,147,152,"MO",2,2,256,71,10,33,11
9,2012-01-05,62,34,40,40,42,38,26,1,104,49,"BR",2,2,164,48,10,17,122
10,2012-01-05,86,50,60,33,52,52,6,1,202,91,"MO",2,2,289,96,82,27,237
11,2012-01-05,86,45,58,22,50,48,8,1,202,91,"MO",2,2,231,96,68,27,206
12,2012-01-05,86,46,58,33,53,51,8,1,202,84,"MO",2,2,287,97,52,28,209
13,2012-01-05,84,49,59,38,35,43,7,1,203,82,"MO",2,2,51,79,44,21,204
14,2012-01-05,85,42,55,44,42,44,10,1,218,83,"MO",2,2,140,89,100,21,24
15,2012-01-05,51,29,32,38,26,27,33,1,196,15,"MO",2,2,211,57,37,29,212
16,2012-01-05,53,37,37,1,26,30,29,1,130,100,"MO",2,2,239,57,71,27,235
17,2012-01-05,86,39,54,1,40,44,11,1,192,98,"MO",2,2,211,89,45,20,198
18,2012-01-05,84,49,59,38,48,49,7,1,209,86,"MO",2,2,235,96,29,18,130
19,2012-01-05,63,39,43,48,40,39,22,1,201,21,"MO",2,2,171,58,86,23,239
20,2012-01-05,85,50,60,22,48,50,6,1,203,97,"MO",2,2,215,96,23,23,198
1,2012-01-06,62,38,42,32,35,34,23,1,130,5,"SN",2,1,237,59,4,1,125
2,2012-01-06,63,34,40,42,37,36,26,1,194,20,"SN",4,3,140,56,66,22,222
3,2012-01-06,87,55,63,51,50,51,3,1,213,75,"MO",2,2,185,64,63,18,250
4,2012-01-06,93,71,74,46,69,66,1,1,206,96,"BR",2,2,195,78,44,19,208
6,2012-01-06,94,58,70,35,71,65,35,1,206,96,"BR",2,1,213,74,108,19,29
7,2012-01-06,85,56,62,47,46,49,4,1,205,128,"MO",2,2,120,64,75,22,65
8,2012-01-06,92,73,74,45,70,66,1,1,194,87,"BR HZ",2,2,234,61,79,20,234
9,2012-01-06,63,48,48,42,42,42,18,1,202,113,"MO",2,2,169,50,95,28,249
10,2012-01-06,91,59,66,33,60,58,68,1,202,92,"FG+ BR",2,2,283,91,30,21,198
11,2012-01-06,90,50,62,33,56,53,4,1,203,92,"FG+ BR",2,2,281,91,19,25,122
12,2012-01-06,89,52,62,28,59,55,4,1,186,130,"FG+ BR",2,2,281,92,26,24,127
13,2012-01-06,61,38,41,27,36,37,25,1,217,93,"MO",2,2,46,76,38,12,216
14,2012-01-06,85,51,60,48,46,49,6,1,218,84,"MO",2,2,119,64,53,21,43
15,2012-01-06,48,27,29,36,32,28,37,1,196,16,"SN",4,3,215,58,7,35,19
16,2012-01-06,61,38,41,44,38,36,25,1,179,76,"MO",2,1,241,57,17,19,127
17,2012-01-06,87,48,60,1,49,50,6,1,189,92,"MO",2,2,192,67,36,19,229
18,2012-01-06,92,63,70,48,62,61,35,1,209,87,"MO",2,2,208,68,88,19,245
19,2012-01-06,68,52,52,56,43,44,14,1,201,22,"MO",2,2,164,46,74,27,233
20,2012-01-06,93,66,71,33,63,62,24,1,54,142,"MO",2,2,188,68,72,19,234
1,2012-01-07,74,41,50,36,42,42,16,1,210,86,"MO",2,2,226,51,32,26,190
2,2012-01-07,73,51,54,55,43,44,11,1,194,21,"MO",2,2,132,50,91,26,250
3,2012-01-07,75,50,54,43,40,45,11,1,213,76,"MO",2,2,205,81,84,1,243
4,2012-01-07,87,64,67,40,60,61,57,1,207,97,"FG+ BR",2,2,200,62,11,30,124
6,2012-01-07,89,61,66,41,61,59,68,1,206,97,"FG+ BR",2,2,216,75,17,33,188
7,2012-01-07,75,47,53,41,39,43,12,1,213,106,"MO",2,2,138,81,100,2,25
8,2012-01-07,86,70,72,36,68,62,13,1,87,165,"FG+ FG BR",2,2,232,81,5,31,18
9,2012-01-07,53,35,36,39,35,31,30,1,187,113,"MO",2,2,205,86,55,30,228
10,2012-01-07,90,64,69,40,68,62,46,1,202,93,"FG+ FG BR",2,3,280,90,20,20,184
11,2012-01-07,92,57,66,37,64,59,68,1,203,93,"FG+ FG BR",2,1,279,90,22,27,124
12,2012-01-07,90,58,65,34,68,62,74,1,202,93,"FG+ FG BR",2,3,278,90,20,25,125
13,2012-01-07,54,35,37,49,37,32,29,1,140,10,"SN FG+ FZFG BR",54,18,44,82,48,33,213
14,2012-01-07,76,52,56,45,38,44,9,1,218,85,"MO",2,2,135,80,112,3,39
15,2012-01-07,60,35,39,45,39,34,27,1,196,17,"MO",2,2,204,50,7,29,10
16,2012-01-07,75,38,49,22,43,42,17,1,202,98,"MO",2,2,229,48,30,29,191
17,2012-01-07,78,55,58,22,39,45,8,1,207,81,"MO",2,2,210,83,94,2,248
18,2012-01-07,79,59,61,40,57,54,5,1,209,88,"MO",2,2,216,73,45,31,218
19,2012-01-07,57,42,41,46,37,37,25,1,200,23,"MO",2,2,201,78,76,30,231
20,2012-01-07,79,60,61,40,57,54,5,1,90,139,"MO",2,2,196,72,61,29,235
1,2012-01-08,61,40,42,12,36,38,23,1,133,85,"MO",2,2,259,86,53,30,220
2,2012-01-08,54,38,38,40,34,34,28,1,194,23,"MO",2,2,164,86,110,29,31
3,2012-01-08,70,47,50,39,42,44,16,1,213,77,"MO",2,2,214,91,85,36,238
4,2012-01-08,78,62,62,35,64,59,4,1,207,98,"RA HZ",2,7,200,69,26,3,190
6,2012-01-08,79,57,60,35,65,60,6,1,206,98,"RA BR",2,3,216,75,79,2,235
7,2012-01-08,68,53,52,43,40,43,14,1,169,96,"MO",2,2,147,91,108,1,29
8,2012-01-08,91,68,72,4,72,66,13,1,152,133,"RA BR HZ",2,5,233,55,12,36,13
9,2012-01-08,57,31,36,32,37,32,30,1,205,88,"BR",2,2,211,97,12,19,20
10,2012-01-08,94,64,71,42,68,63,24,1,202,94,"MO",2,2,286,96,32,14,185
11,2012-01-08,94,57,67,38,65,61,57,1,203,93,"BR",2,2,286,96,22,15,126
12,2012-01-08,93,60,69,43,68,62,46,1,118,171,"FG BR",2,2,285,97,12,14,16
13,2012-01-08,48,23,27,37,28,25,39,1,199,120,"MO",2,2,57,104,40,18,200
14,2012-01-08,68,57,54,43,40,44,11,1,218,86,"MO",2,2,145,89,107,2,29
15,2012-01-08,57,34,37,43,34,32,29,1,195,18,"MO",2,2,236,86,76,31,233
16,2012-01-08,59,40,41,31,36,38,25,1,208,5,"MO",2,2,262,83,62,30,222
17,2012-01-08,70,52,53,37,41,44,12,1,209,116,"MO",2,2,219,93,74,1,230
18,2012-01-08,75,55,56,36,61,55,9,1,209,89,"TSRA FG+ BR HZ",2,4,225,82,40,2,195
19,2012-01-08,57,31,36,41,35,33,30,1,200,25,"MO",2,2,222,104,46,23,199
20,2012-01-08,76,53,56,32,60,54,9,1,103,156,"RA BR HZ VCTS",2,15,203,81,49,1,212
1,2012-01-09,54,36,37,1,25,30,29,1,195,120,"MO",2,2,275,95,25,23,194
2,2012-01-09,53,34,36,38,25,30,30,1,194,24,"MO",2,2,174,80,71,25,233
3,2012-01-09,71,39,47,36,41,41,19,1,213,78,"MO",2,2,215,95,68,35,226
4,2012-01-09,74,57,58,1,63,55,8,1,207,99,"RA BR",2,89,202,77,68,34,236
6,2012-01-09,75,58,59,34,64,56,7,1,206,99,"TSRA RA DZ BR",2,64,217,75,114,35,46
7,2012-01-09,69,40,47,12,40,40,19,1,199,93,"MO",2,2,148,96,88,36,242
8,2012-01-09,86,63,67,35,67,60,57,1,202,84,"TSRA RA DZ BR VCTS",2,64,229,61,86,34,248
9,2012-01-09,65,40,44,12,39,39,21,1,206,80,"MO",2,2,186,71,70,25,229
10,2012-01-09,94,68,73,42,71,66,2,1,202,95,"BR",2,2,283,92,24,16,125
11,2012-01-09,95,61,70,40,68,62,35,1,203,94,"FG BR",2,2,283,92,17,25,19
12,2012-01-09,94,64,71,39,70,64,24,1,203,85,"FG+ BR",2,2,282,92,23,22,124
13,2012-01-09,63,29,38,36,32,32,28,1,217,55,"MO",2,2,62,106,36,18,193
14,2012-01-09,68,46,49,38,40,41,17,1,218,86,"MO",2,2,146,94,107,36,27
15,2012-01-09,50,27,30,37,26,26,36,1,195,19,"MO",2,2,250,93,11,16,130
16,2012-01-09,53,34,36,42,27,30,30,1,187,47,"MO",2,2,278,93,29,25,207
17,2012-01-09,72,46,51,38,40,42,15,1,195,168,"MO",2,2,221,97,48,1,204
18,2012-01-09,68,59,55,35,59,52,10,1,209,89,"TSRA RA BR",2,134,223,83,82,36,244
19,2012-01-09,62,40,43,48,40,38,22,1,200,26,"MO",2,2,192,78,119,24,42
20,2012-01-09,67,59,54,34,59,52,11,1,128,131,"RA BR VCTS",2,158,202,82,97,36,30
1,2012-01-10,63,42,44,12,38,38,21,1,10,150,"MO",2,1,238,61,56,25,219
2,2012-01-10,57,38,39,41,38,36,27,1,194,25,"SN",1,1,143,61,98,26,21
3,2012-01-10,68,44,48,37,43,43,18,1,213,78,"MO",2,2,185,69,32,34,200
4,2012-01-10,75,56,58,1,52,50,8,1,207,100,"MO",2,2,193,72,57,30,225
6,2012-01-10,78,49,55,1,52,50,10,1,206,100,"MO",2,1,210,72,80,31,238
7,2012-01-10,72,46,51,35,42,42,15,1,202,78,"RA",2,1,120,70,52,36,219
8,2012-01-10,76,56,61,12,53,51,6,1,205,104,"MO",2,2,229,73,76,30,235
9,2012-01-10,71,37,45,1,43,40,20,1,196,110,"BR",2,2,169,57,27,17,190
10,2012-01-10,93,72,74,44,73,69,1,1,202,95,"RA BR HZ",2,2,272,80,38,17,195
11,2012-01-10,95,62,71,41,71,65,24,1,203,95,"BR",2,2,271,80,39,17,195
12,2012-01-10,94,63,71,41,72,66,24,1,191,106,"BR",2,2,271,80,36,19,192
13,2012-01-10,73,41,49,43,38,39,17,1,202,100,"MO",2,2,38,71,43,16,199
14,2012-01-10,71,44,49,38,42,43,17,1,218,87,"RA",2,1,119,68,68,36,234
15,2012-01-10,59,36,39,45,35,34,27,1,195,20,"MO",2,2,213,59,30,27,217
16,2012-01-10,63,41,44,22,39,38,21,1,209,116,"SN BR",1,3,241,59,54,26,217
17,2012-01-10,69,49,51,45,42,43,15,1,209,107,"MO",2,2,191,70,24,1,126
18,2012-01-10,62,57,51,1,57,50,15,1,209,90,"TS TSRA RA DZ BR",2,51,203,64,82,31,243
19,2012-01-10,67,38,44,49,42,40,21,1,200,27,"MO",2,2,183,68,47,21,203
20,2012-01-10,63,57,52,38,57,50,14,1,209,71,"TSRA RA BR",2,32,182,63,115,31,38
1,2012-01-11,54,37,38,36,35,34,28,1,194,40,"MO",2,2,260,85,36,7,196
2,2012-01-11,53,41,39,41,36,33,27,1,193,26,"MO",2,2,161,81,16,9,199
3,2012-01-11,79,42,52,41,45,42,14,1,213,79,"SN BR",7,4,177,54,97,32,42
4,2012-01-11,96,52,66,39,51,52,68,1,207,100,"MO",2,2,179,71,39,29,217
6,2012-01-11,95,42,61,36,51,52,5,1,206,100,"MO",2,2,197,56,60,24,253
7,2012-01-11,70,41,48,42,41,40,18,1,213,78,"SN BR",1,1,116,59,127,34,79
8,2012-01-11,91,56,65,33,51,54,76,1,206,93,"MO",2,2,214,75,66,25,243
9,2012-01-11,53,26,31,1,36,30,34,1,176,122,"SN BR",2,1,168,51,132,32,62
10,2012-01-11,94,75,76,43,72,69,1,3,202,96,"RA",2,6,246,53,106,20,51
11,2012-01-11,92,71,73,43,72,67,2,1,203,96,"RA",2,1,244,53,95,21,34
12,2012-01-11,95,75,77,43,73,69,1,4,181,134,"MO",2,1,244,54,89,22,29
13,2012-01-11,57,43,43,22,25,20,28,1,193,120,"SN FZFG BR",1,3,49,90,55,4,242
14,2012-01-11,73,42,50,39,42,41,16,1,218,88,"SN",1,1,114,57,144,35,77
15,2012-01-11,49,34,33,40,31,30,32,1,195,21,"SN BR",2,2,236,84,12,36,186
16,2012-01-11,53,36,37,40,36,34,29,1,199,61,"MO",2,2,262,82,34,8,213
17,2012-01-11,80,37,50,4,41,41,16,1,202,118,"SN BR",1,4,184,57,59,33,213
18,2012-01-11,83,50,59,38,54,52,7,1,209,91,"MO",2,2,195,51,38,34,235
19,2012-01-11,72,41,49,54,43,41,17,1,199,28,"BR HZ",2,2,154,39,8,21,126
20,2012-01-11,82,51,59,39,54,52,7,1,200,29,"MO",2,2,174,51,46,31,246
1,2012-01-12,56,45,42,34,46,40,23,1,136,78,"RA SN BR",1,71,231,49,109,5,44
2,2012-01-12,48,44,38,40,46,37,28,1,193,27,"RA SN FG+ FG FZFG BR UP",46,108,131,44,107,5,28
3,2012-01-12,50,34,33,30,98,28,32,1,213,80,"MO",2,2,208,86,147,30,72
4,2012-01-12,67,47,49,31,29,39,17,1,207,101,"MO",2,2,223,99,84,34,237
6,2012-01-12,68,41,47,31,31,39,19,1,206,101,"MO",2,2,239,97,135,34,60
7,2012-01-12,51,30,32,30,44,26,33,1,213,72,"MO",2,2,146,92,126,31,49
8,2012-01-12,71,46,51,31,34,40,14,1,206,83,"MO",2,2,252,101,123,34,51
9,2012-01-12,29,23,18,31,66,16,48,1,174,120,"SN",2,1,177,61,182,33,103
10,2012-01-12,94,68,73,43,69,66,2,1,202,97,"MO",2,2,249,59,109,24,35
11,2012-01-12,93,62,70,40,69,64,35,1,203,97,"BR",2,2,248,59,110,24,35
12,2012-01-12,93,64,71,26,70,66,24,1,202,77,"MO",2,2,248,59,102,24,26
13,2012-01-12,56,1,25,12,44,22,41,1,217,39,"MO",2,2,49,98,34,25,219
14,2012-01-12,52,30,33,30,33,27,32,1,217,89,"MO",2,2,145,91,170,32,94
15,2012-01-12,47,39,34,41,40,33,31,1,194,22,"SN FZFG BR UP",47,36,213,53,71,4,231
16,2012-01-12,57,45,42,12,49,42,23,1,192,82,"RA SN BR",2,100,233,45,21,4,46
17,2012-01-12,50,36,34,30,88,27,31,1,218,68,"MO",2,2,215,89,55,30,226
18,2012-01-12,58,42,42,31,27,34,23,1,208,92,"MO",2,2,239,95,128,32,50
19,2012-01-12,51,33,33,40,42,31,32,1,199,29,"DZ SN BR HZ",65,37,141,26,134,34,62
20,2012-01-12,59,40,41,36,26,33,25,1,183,59,"MO",2,2,217,93,134,32,65
1,2012-01-13,67,44,47,1,41,38,19,1,116,105,"RA FZRA FG+ FG BR UP",2,4,193,16,89,24,48
2,2012-01-13,56,37,38,40,38,33,28,1,193,28,"FZRA FG+ FZFG UP",1,11,99,15,99,24,79
3,2012-01-13,64,33,40,12,23,31,26,1,212,81,"MO",2,2,210,91,37,23,210
4,2012-01-13,75,46,52,28,36,42,14,1,206,102,"MO",2,2,228,105,17,28,193
6,2012-01-13,76,39,50,28,37,41,16,1,206,102,"MO",2,2,246,105,23,21,191
7,2012-01-13,69,29,41,27,30,33,25,1,174,122,"MO",2,2,145,93,61,22,219
8,2012-01-13,72,44,50,39,40,42,16,1,202,98,"MO",2,2,263,102,17,23,125
9,2012-01-13,27,98,15,22,55,14,51,1,196,30,"SN",1,1,192,77,62,32,230
10,2012-01-13,83,58,62,12,37,45,4,1,202,98,"MO",2,2,275,87,88,29,247
11,2012-01-13,81,52,59,12,35,43,7,1,203,97,"MO",2,2,273,88,98,28,21
12,2012-01-13,83,57,62,22,36,45,4,1,202,98,"MO",2,2,272,87,97,29,24
13,2012-01-13,60,31,38,1,88,30,28,1,209,86,"MO",2,2,48,86,76,26,240
14,2012-01-13,69,30,41,1,28,32,25,1,217,90,"MO",2,2,143,92,46,23,212
15,2012-01-13,51,39,37,43,39,33,29,1,194,24,"FZRA SN BR UP",2,13,169,13,54,25,223
16,2012-01-13,71,44,49,32,41,39,17,1,211,21,"RA FG BR",2,8,197,13,98,24,56
17,2012-01-13,65,27,38,41,23,30,28,1,200,55,"MO",2,2,217,94,22,22,123
18,2012-01-13,73,41,49,22,38,41,17,1,208,93,"MO",2,2,239,98,40,20,193
19,2012-01-13,36,30,25,32,27,23,41,1,199,30,"SN",8,7,180,59,112,30,32
20,2012-01-13,74,40,49,2,35,41,17,1,47,153,"MO",2,2,219,97,36,21,194
1,2012-01-14,50,26,30,41,25,28,36,1,205,90,"MO",2,2,227,56,113,28,46
2,2012-01-14,42,24,25,22,97,23,41,1,192,29,"MO",2,2,133,56,163,27,88
3,2012-01-14,72,45,50,39,35,40,16,1,212,82,"MO",2,2,216,95,53,29,221
4,2012-01-14,85,45,56,12,38,44,9,1,206,103,"MO",2,2,231,70,16,21,20
6,2012-01-14,84,35,51,27,39,42,15,1,206,103,"MO",2,2,249,110,43,21,198
7,2012-01-14,74,42,50,38,29,39,16,1,215,103,"MO",2,2,152,98,28,32,232
8,2012-01-14,81,44,54,22,45,45,11,1,204,51,"MO",2,2,268,97,42,22,200
9,2012-01-14,35,76,18,26,98,17,48,1,209,36,"SN BR HZ",1,3,200,85,49,14,207
10,2012-01-14,74,51,54,32,35,43,11,1,202,99,"MO",2,2,296,106,75,31,238
11,2012-01-14,73,42,50,2,35,40,16,1,202,98,"MO",2,2,296,106,58,30,215
12,2012-01-14,73,47,52,32,36,42,14,1,202,170,"MO",2,2,295,106,80,31,238
13,2012-01-14,70,33,43,12,25,36,22,1,215,84,"MO",2,2,49,83,82,20,248
14,2012-01-14,75,42,51,40,28,39,15,1,217,91,"MO",2,2,150,97,31,34,230
15,2012-01-14,46,65,22,12,23,23,43,1,193,25,"MO",2,2,203,55,112,30,44
16,2012-01-14,50,27,30,22,25,28,36,1,195,92,"MO",2,2,231,53,111,28,44
17,2012-01-14,73,36,47,35,32,37,19,1,143,139,"MO",2,2,223,98,10,29,127
18,2012-01-14,85,51,60,39,42,47,6,1,208,94,"MO",2,2,242,101,27,19,197
19,2012-01-14,35,26,22,12,98,19,43,1,198,31,"SN",5,3,207,87,56,27,211
20,2012-01-14,87,57,64,33,40,49,76,1,200,54,"MO",2,2,222,100,59,24,227
1,2012-01-15,29,54,13,35,16,79,52,1,197,17,"MO",2,2,278,106,114,31,37
2,2012-01-15,26,32,90,7,14,57,54,1,192,30,"MO",2,2,174,103,138,31,59
3,2012-01-15,82,46,55,44,42,47,10,1,212,83,"MO",2,2,198,81,165,17,86
4,2012-01-15,82,51,59,32,57,55,7,1,206,104,"MO",2,2,222,101,29,18,198
6,2012-01-15,82,39,52,26,58,53,14,1,206,104,"MO",2,1,239,102,71,18,224
7,2012-01-15,79,46,54,41,45,48,11,1,197,70,"MO",2,2,130,77,191,18,114
8,2012-01-15,82,48,58,34,61,56,4,1,188,125,"MO",2,2,260,97,58,17,213
9,2012-01-15,53,30,33,1,35,31,32,1,194,83,"BR",2,2,180,68,114,14,34
10,2012-01-15,83,52,60,1,43,48,6,1,202,100,"MO",2,2,305,116,54,31,230
11,2012-01-15,81,47,55,27,41,44,10,1,202,99,"MO",2,2,304,116,45,29,204
12,2012-01-15,82,46,55,26,45,47,10,1,202,74,"MO",2,2,304,116,53,31,208
13,2012-01-15,71,47,51,40,25,39,15,1,199,100,"MO",2,2,26,50,113,22,42
14,2012-01-15,79,41,52,41,46,47,14,1,217,92,"MO",2,2,130,78,149,17,72
15,2012-01-15,8,1,57,7,18,24,58,1,193,26,"MO",2,2,254,106,114,31,35
16,2012-01-15,29,43,13,14,16,79,52,1,196,73,"MO",2,2,279,102,140,31,59
17,2012-01-15,83,38,52,38,41,45,14,1,206,106,"MO",2,2,205,84,102,18,23
18,2012-01-15,83,52,60,38,52,53,6,1,208,95,"MO",2,2,233,93,129,17,55
19,2012-01-15,45,22,25,32,28,26,41,1,198,32,"SN",1,1,210,97,21,18,29
20,2012-01-15,82,56,61,12,51,53,5,1,195,108,"MO",2,2,213,92,106,18,29
1,2012-01-16,47,98,25,22,44,21,41,1,140,156,"SN BR",1,7,298,118,53,23,225
2,2012-01-16,45,54,21,28,44,18,44,1,191,31,"SN FZFG BR UP",30,17,196,116,88,24,41
